path	pexels_id	photographer	photo_url	alt
public/images/developer/hero-vancouver-skyline.jpg	33247752	The Six	https://www.pexels.com/photo/aerial-view-of-vancouver-skyline-in-daylight-33247752/	A stunning aerial view of Vancouver's skyline during daytime, showcasing modern architecture and bustling city life.
public/images/shared/properties/condo-modern-glass.jpg	14175804	Shonti	https://www.pexels.com/photo/a-white-and-blue-high-rise-building-under-blue-sky-14175804/	Tall modern high-rise building set against a vibrant clear blue sky, showcasing contemporary architecture.
public/images/shared/properties/condo-minimalist.jpg	1669787	Sergey Okhrymenko	https://www.pexels.com/photo/grey-and-black-concrete-building-1669787/	Low-angle view of a minimalist apartment facade, showcasing modern architectural design and symmetry.
public/images/shared/properties/condo-courtyard.jpg	31656168	SHOX ART	https://www.pexels.com/photo/modern-apartment-building-with-green-courtyard-31656168/	Contemporary apartment complex with landscaped courtyard and balconies.
public/images/shared/properties/townhouse-brick.jpg	6074129	Eva Bronzini	https://www.pexels.com/photo/a-house-with-brick-walls-6074129/	Charming Toronto townhouse with distinctive brick architecture surrounded by lush greenery.
public/images/shared/properties/detached-craftsman.jpg	5502227	Curtis Adams	https://www.pexels.com/photo/house-with-gray-roof-5502227/	A beautiful Craftsman-style house with a spacious porch and manicured lawn in Raleigh, NC.
public/images/shared/properties/detached-suburban.jpg	5524164	Clay Elliot	https://www.pexels.com/photo/brown-and-white-house-near-green-grass-field-and-trees-5524164/	A picturesque suburban house with a lush garden, captured at twilight. Perfect for real estate and lifestyle themes.
public/images/shared/lifestyle/investor-laptop.jpg	9260568	Atlantic Ambience	https://www.pexels.com/photo/a-person-writing-on-a-paper-9260568/	A person analyzes financial data and diagrams on a laptop and paper at a desk, highlighting office work.
public/images/shared/lifestyle/owner-keys.jpg	7641906	Alena Darmel	https://www.pexels.com/photo/a-couple-holding-the-keys-for-a-new-house-7641906/	Happy couple receiving keys to their new home, symbolizing a new beginning.
public/images/foreclosure/hero-vancouver.jpg	8469931	Thirdman	https://www.pexels.com/photo/a-house-and-lot-for-sale-8469931/	Detached home with manicured lawn and inviting facade
